,action,cost,state
22,[-0.49290293],-0.00354596983363599,[-0.16509374 -1.3440671   3.51507948  2.60935619]
23,[-0.50831124],-0.004697340951577862,[-0.17853441 -1.39333325  3.54117305  2.6344565 ]
24,[-0.56906274],-0.006121261778470451,[-0.19246774 -1.44946101  3.56751761  2.66821482]
25,[-0.63016079],-0.007856182264388212,[-0.20696235 -1.51230301  3.59419976  2.709852  ]
26,[-0.67758923],-0.00995357717201802,[-0.22208538 -1.57968656  3.62129828  2.75398876]
27,[-0.78516053],-0.01247218362631012,[-0.23788225 -1.65999684  3.64883817  2.8188004 ]
28,[-0.91355052],-0.01547314522058138,[-0.25448221 -1.75568042  3.67702617  2.90863267]
29,[-1.],-0.019048334737868787,[-0.27203902 -1.86031432  3.7061125   3.00835047]
30,[-1.],-0.023317775947719204,[-0.29064216 -1.96167708  3.736196    3.09109515]
31,[-1.],-0.028403489426303472,[-0.31025893 -2.05986461  3.76710695  3.1569101 ]
32,[-1.],-0.03439082209100053,[-0.33085758 -2.15502366  3.79867606  3.20602094]
33,[-1.],-0.041355273643460616,[-0.35240782 -2.24734594  3.83073626  3.23881371]
34,[-1.],-0.04935759436900879,[-0.37488127 -2.33706062  3.8631244   3.25580846]
35,[-1.],-0.058438953670166854,[-0.39825188 -2.42442597  3.89568249  3.25763064]
36,[-1.],-0.06861647236037878,[-0.42249614 -2.5097206   3.92825879  3.24498213]
37,[-1.],-0.07987939468183095,[-0.44759335 -2.59323484  3.96070861  3.21861384]
38,[-1.],-0.09218613671504841,[-0.4735257  -2.67526274  3.99289475  3.17930111]
39,[-1.],-0.10546239259578301,[-0.50027832 -2.75609494  4.02468776  3.12782287]
40,[-1.],-0.11960041600606633,[-0.52783927 -2.83601256  4.05596599  3.06494503]
41,[-1.],-0.13445952868658234,[-0.5561994  -2.91528226  4.08661544  2.99140796]
42,[-1.],-0.14986784588669888,[-0.58535222 -2.99415236  4.11652952  2.90791804]
43,[-1.],-0.16562515466124814,[-0.61529374 -3.07284999  4.1456087   2.8151427 ]
44,[-1.],-0.18150683690842986,[-0.64602224 -3.15157911  4.17376013  2.71370834]
45,[-1.],-0.19726869567348418,[-0.67753803 -3.23051928  4.20089721  2.60420077]
46,[-1.],-0.21265252004761115,[-0.70984323 -3.30982512  4.22693922  2.48716731]
47,[-0.82995333],-0.22739220979554797,[-0.74294148 -3.37110973  4.25181089  2.34152054]
48,[-0.71301822],-0.24122027413308364,[-0.77665258 -3.42068397  4.2752261   2.17668786]
49,[-0.57012115],-0.253736555966314,[-0.81085942 -3.45609239  4.29699298  1.99175278]
50,[-0.54334089],-0.2646137644582309,[-0.84542034 -3.48999955  4.31691051  1.80133923]
51,[-0.45896324],-0.273547749489365,[-0.88032034 -3.51628554  4.3349239   1.60010548]
52,[-0.40329343],-0.28036355188714407,[-0.91548319 -3.5380186   4.35092495  1.39191333]
53,[-0.37824343],-0.2848984895957763,[-0.95086338 -3.55835914  4.36484409  1.1802608 ]
54,[-0.37492198],-0.28706201366056444,[-0.98644697 -3.57945364  4.37664669  0.96740029]
55,[-0.35558508],-0.2868320188126356,[-1.0222415  -3.59946662  4.3863207   0.75209173]
56,[-0.35917247],-0.2842441919488353,[-1.05823617 -3.62062029  4.39384161  0.53646726]
57,[-0.34444671],-0.2793724466629341,[-1.09444237 -3.64082462  4.39920629  0.31913738]
58,[-0.34591416],-0.27234091507582037,[-1.13085062 -3.66157498  4.40239766  0.10156138]
59,[-0.33450283],-0.263305314900877,[-1.16746637 -3.68134065  4.40341327 -0.11716336]
60,[-0.33784077],-0.25245942588952697,[-1.20427978 -3.70145359  4.40224164 -0.33574782]
61,[-0.33098016],-0.24002202685302446,[-1.24129431 -3.72065719  4.39888416 -0.55488239]
62,[-0.33593938],-0.22623783501469938,[-1.27850088 -3.7399771   4.39333534 -0.77352097]
