,action,cost,state
152,[0.],-2.060123271101722e-08,[ 1.4163129   0.86058042  3.16328385 -0.01474815]
153,[0.],-1.993947160923815e-08,[ 1.4249187   0.86048118  3.16313637 -0.01982487]
154,[0.],-1.911196270816505e-08,[ 1.43352351  0.86037342  3.16293812 -0.02484411]
155,[0.],-1.8138947064497808e-08,[ 1.44212725  0.86025418  3.16268968 -0.02978599]
156,[0.],-1.704367014493085e-08,[ 1.45072979  0.86012052  3.16239182 -0.03463086]
157,[0.],-1.58515473804142e-08,[ 1.45933099  0.85996956  3.16204551 -0.03935936]
158,[0.],-1.4589274108358502e-08,[ 1.46793069  0.85979847  3.16165192 -0.04395257]
159,[0.],-1.3283919274103778e-08,[ 1.47652867  0.85960451  3.16121239 -0.04839197]
160,[0.],-1.1962041934555573e-08,[ 1.48512472  0.859385    3.16072847 -0.05265965]
161,[0.],-1.0648867324323763e-08,[ 1.49371857  0.85913738  3.16020187 -0.05673825]
162,[0.],-9.367555175362836e-09,[ 1.50230994  0.85885916  3.15963449 -0.06061113]
163,[0.],-8.138587390927783e-09,[ 1.51089853  0.858548    3.15902838 -0.06426239]
164,[0.],-6.979295406774099e-09,[ 1.51948401  0.85820166  3.15838576 -0.06767693]
165,[0.],-5.903540028754511e-09,[ 1.52806603  0.85781805  3.15770899 -0.07084056]
166,[0.],-4.92154864902341e-09,[ 1.53664421  0.85739522  3.15700058 -0.07373998]
167,[0.],-4.039906952633878e-09,[ 1.54521816  0.85693134  3.15626318 -0.07636293]
168,[0.],-3.2616949518964717e-09,[ 1.55378748  0.85642479  3.15549955 -0.07869817]
169,[0.],-2.5867508026111613e-09,[ 1.56235172  0.85587407  3.15471257 -0.08073553]
170,[0.],-2.0120406753558984e-09,[ 1.57091047  0.85527787  3.15390522 -0.08246602]
171,[0.],-1.5321092049060673e-09,[ 1.57946324  0.85463507  3.15308056 -0.0838818 ]
172,[0.],-1.1395828598282827e-09,[ 1.58800959  0.85394471  3.15224174 -0.08497623]
173,[0.],-8.256980019464704e-10,[ 1.59654904  0.85320603  3.15139198 -0.08574393]
174,[0.],-5.808263868179532e-10,[ 1.6050811   0.85241846  3.15053454 -0.08618079]
175,[0.],-3.9497324776418693e-10,[ 1.61360529  0.85158161  3.14967273 -0.08628397]
