,action,cost,state
21,[-0.97802862],-0.05091079846668254,[-0.32821764 -2.73001313  3.88684974  5.28137931]
22,[-0.99166563],-0.06707761554116688,[-0.35551777 -2.79234764  3.93966353  5.22941703]
23,[-0.98733154],-0.08630339863831363,[-0.38344124 -2.8512809   3.9919577   5.1564881 ]
24,[-0.99245386],-0.10865673266401027,[-0.41195405 -2.90883759  4.04352258  5.06691627]
25,[-0.98909318],-0.13408600383028182,[-0.44104243 -2.96477718  4.09419175  4.96103528]
26,[-0.99506929],-0.16243955672286337,[-0.4706902  -3.02091242  4.1438021   4.84230662]
27,[-0.99901321],-0.19344941920077627,[-0.50089932 -3.07761058  4.19222517  4.71175458]
28,[-0.99514019],-0.22675643929002057,[-0.53167543 -3.1345424   4.23934271  4.56946592]
29,[-0.998479],-0.2619088129870979,[-0.56302085 -3.19298959  4.28503737  4.41749698]
30,[-0.99897385],-0.2983681128582546,[-0.59495075 -3.25303291  4.32921234  4.25628982]
31,[-0.99831622],-0.3355405801414622,[-0.62748108 -3.31488066  4.37177524  4.08640041]
32,[-0.99447517],-0.37278374369566686,[-0.66062989 -3.37847031  4.41263924  3.90811222]
33,[-0.99178748],-0.4094258888622205,[-0.69441459 -3.44414044  4.45172037  3.72203684]
34,[-0.98345789],-0.444782872497339,[-0.72885599 -3.5114707   4.48894073  3.52821235]
35,[-0.9120027],-0.4781796429157819,[-0.7639707  -3.57414811  4.52422286  3.32353795]
36,[0.98700173],-0.5089639623822806,[-0.79971218 -3.44716436  4.55745824  3.02298807]
37,[0.95938469],-0.5365082229562534,[-0.83418382 -3.32755269  4.58768812  2.73428492]
38,[0.99732666],-0.55999290208389,[-0.86745935 -3.20812762  4.61503097  2.45355665]
39,[0.98128194],-0.5793621424064155,[-0.89954063 -3.0938366   4.63956653  2.18144528]
40,[0.96258338],-0.5946388734493804,[-0.93047899 -2.98447597  4.66138099  1.91670377]
41,[0.97781107],-0.6059102975358616,[-0.96032375 -2.87622629  4.68054802  1.65772506]
42,[0.9785427],-0.6133096223359477,[-0.98908602 -2.77016374  4.69712527  1.40390809]
43,[0.99047784],-0.617020390601282,[-1.01678765 -2.6648185   4.71116436  1.15441695]
44,[0.98721636],-0.6172514437997956,[-1.04343584 -2.56138787  4.72270852  0.90860048]
45,[0.99533461],-0.6142387298573079,[-1.06904972 -2.45843064  4.73179453  0.66576968]
46,[0.99054562],-0.6082222699027923,[-1.09363402 -2.356953    4.73845223  0.42523867]
47,[0.9922777],-0.5994553846873876,[-1.11720355 -2.25603077  4.74270461  0.1863972 ]
48,[0.99119922],-0.5881828648286636,[-1.13976386 -2.15568384  4.74456859 -0.05138596]
49,[0.99630409],-0.5746502880543082,[-1.1613207  -2.05503891  4.74405473 -0.28866347]
50,[0.98793252],-0.5590940571890761,[-1.18187109 -1.95519347  4.74116809 -0.52613752]
51,[0.98569246],-0.5417459867616562,[-1.20142302 -1.85528216  4.73590672 -0.76434845]
52,[0.99713376],-0.5228163740516402,[-1.21997585 -1.75368205  4.72826323 -1.0038076 ]
53,[0.99047233],-0.5025085850440645,[-1.23751267 -1.65194474  4.71822516 -1.24523933]
54,[0.99931568],-0.48102375664768976,[-1.25403211 -1.54824892  4.70577276 -1.48922219]
55,[0.9940337],-0.45853726904749115,[-1.2695146  -1.44372535  4.69088054 -1.73644568]
56,[0.99842402],-0.43522332977901657,[-1.28395186 -1.33710711  4.67351608 -1.98762144]
57,[0.99441625],-0.41123558837984797,[-1.29732293 -1.22891557  4.65363987 -2.24344762]
58,[0.98714964],-0.386723715995265,[-1.30961208 -1.11913474  4.63120539 -2.50463862]
59,[0.99727765],-0.36182420281378586,[-1.32080343 -1.00565268  4.60615901 -2.77233696]
60,[0.98407237],-0.3366660934904178,[-1.33085996 -0.89040758  4.57843564 -3.04700173]
61,[0.99102637],-0.31138081829901326,[-1.33976403 -0.77093985  4.54796562 -3.33019067]
62,[0.96608196],-0.28608879275267424,[-1.34747343 -0.64998826  4.51466371 -3.62187404]
63,[-0.08095904],-0.26091654314509316,[-1.35397331 -0.63076956  4.47844497 -3.87202898]
64,[-0.98013377],-0.23598703170552443,[-1.36028101 -0.69935389  4.43972468 -4.07109414]
